L,H,Tau,P,A,Problem
0,0.11111,0.05,0.33333,5.5556,Non decreasing
0,0.11111,0.05,0.33333,6.6667,Non decreasing
0,0.11111,0.05,0.33333,7.7778,Non decreasing
0,0.11111,0.05,0.33333,8.8889,Non decreasing
0,0.11111,0.05,0.33333,10,Non decreasing
0,0.11111,0.05,0.5,6.6667,Non decreasing
0,0.11111,0.05,0.5,7.7778,Non decreasing
0,0.11111,0.05,0.5,8.8889,Non decreasing
0,0.11111,0.05,0.5,10,Non decreasing
0,0.22222,0.05,0.33333,5.5556,Non decreasing
0,0.22222,0.05,0.33333,6.6667,Non decreasing
0,0.22222,0.05,0.33333,7.7778,Non decreasing
0,0.22222,0.05,0.33333,8.8889,Non decreasing
0,0.22222,0.05,0.33333,10,Non decreasing
0,0.22222,0.05,0.5,6.6667,Non decreasing
0,0.22222,0.05,0.5,7.7778,Non decreasing
0,0.22222,0.05,0.5,8.8889,Non decreasing
0,0.22222,0.05,0.5,10,Non decreasing
0,0.33333,0.05,0.33333,5.5556,Non decreasing
0,0.33333,0.05,0.33333,6.6667,Non decreasing
0,0.33333,0.05,0.33333,7.7778,Non decreasing
0,0.33333,0.05,0.33333,8.8889,Non decreasing
0,0.33333,0.05,0.33333,10,Non decreasing
0,0.33333,0.05,0.5,6.6667,Non decreasing
0,0.33333,0.05,0.5,7.7778,Non decreasing
0,0.33333,0.05,0.5,8.8889,Non decreasing
0,0.33333,0.05,0.5,10,Non decreasing
0,0.44444,0.05,0.33333,5.5556,Non decreasing
0,0.44444,0.05,0.33333,6.6667,Non decreasing
0,0.44444,0.05,0.33333,7.7778,Non decreasing
0,0.44444,0.05,0.33333,8.8889,Non decreasing
0,0.44444,0.05,0.33333,10,Non decreasing
0,0.44444,0.05,0.5,6.6667,Non decreasing
0,0.44444,0.05,0.5,7.7778,Non decreasing
0,0.44444,0.05,0.5,8.8889,Non decreasing
0,0.44444,0.05,0.5,10,Non decreasing
0,0.55556,0.05,0.33333,5.5556,Non decreasing
0,0.55556,0.05,0.33333,6.6667,Non decreasing
0,0.55556,0.05,0.33333,7.7778,Non decreasing
0,0.55556,0.05,0.33333,8.8889,Non decreasing
0,0.55556,0.05,0.33333,10,Non decreasing
0,0.55556,0.05,0.5,6.6667,Non decreasing
0,0.55556,0.05,0.5,7.7778,Non decreasing
0,0.55556,0.05,0.5,8.8889,Non decreasing
0,0.55556,0.05,0.5,10,Non decreasing
0,0.66667,0.05,0.33333,5.5556,Non decreasing
0,0.66667,0.05,0.33333,6.6667,Non decreasing
0,0.66667,0.05,0.33333,7.7778,Non decreasing
0,0.66667,0.05,0.33333,8.8889,Non decreasing
0,0.66667,0.05,0.33333,10,Non decreasing
0,0.66667,0.05,0.5,6.6667,Non decreasing
0,0.66667,0.05,0.5,7.7778,Non decreasing
0,0.66667,0.05,0.5,8.8889,Non decreasing
0,0.66667,0.05,0.5,10,Non decreasing
0,0.77778,0.05,0.33333,5.5556,Non decreasing
0,0.77778,0.05,0.33333,6.6667,Non decreasing
0,0.77778,0.05,0.33333,7.7778,Non decreasing
0,0.77778,0.05,0.33333,8.8889,Non decreasing
0,0.77778,0.05,0.33333,10,Non decreasing
0,0.77778,0.05,0.5,6.6667,Non decreasing
0,0.77778,0.05,0.5,7.7778,Non decreasing
0,0.77778,0.05,0.5,8.8889,Non decreasing
0,0.77778,0.05,0.5,10,Non decreasing
0,0.88889,0.05,0.33333,5.5556,Non decreasing
0,0.88889,0.05,0.33333,6.6667,Non decreasing
0,0.88889,0.05,0.33333,7.7778,Non decreasing
0,0.88889,0.05,0.33333,8.8889,Non decreasing
0,0.88889,0.05,0.33333,10,Non decreasing
0,0.88889,0.05,0.5,6.6667,Non decreasing
0,0.88889,0.05,0.5,7.7778,Non decreasing
0,0.88889,0.05,0.5,8.8889,Non decreasing
0,0.88889,0.05,0.5,10,Non decreasing
0,1,0.05,0.33333,5.5556,Non decreasing
0,1,0.05,0.33333,6.6667,Non decreasing
0,1,0.05,0.33333,7.7778,Non decreasing
0,1,0.05,0.33333,8.8889,Non decreasing
0,1,0.05,0.33333,10,Non decreasing
0,1,0.05,0.5,6.6667,Non decreasing
0,1,0.05,0.5,7.7778,Non decreasing
0,1,0.05,0.5,8.8889,Non decreasing
0,1,0.05,0.5,10,Non decreasing
0.11111,0,0.05,0.33333,5.5556,Non decreasing
0.11111,0,0.05,0.33333,6.6667,Non decreasing
0.11111,0,0.05,0.33333,7.7778,Non decreasing
0.11111,0,0.05,0.33333,8.8889,Non decreasing
0.11111,0,0.05,0.33333,10,Non decreasing
0.11111,0,0.05,0.5,6.6667,Non decreasing
0.11111,0,0.05,0.5,7.7778,Non decreasing
0.11111,0,0.05,0.5,8.8889,Non decreasing
0.11111,0,0.05,0.5,10,Non decreasing
0.11111,0.22222,0.05,0.33333,5.5556,Non decreasing
0.11111,0.22222,0.05,0.33333,6.6667,Non decreasing
0.11111,0.22222,0.05,0.33333,7.7778,Non decreasing
0.11111,0.22222,0.05,0.33333,8.8889,Non decreasing
0.11111,0.22222,0.05,0.33333,10,Non decreasing
0.11111,0.22222,0.05,0.5,6.6667,Non decreasing
0.11111,0.22222,0.05,0.5,7.7778,Non decreasing
0.11111,0.22222,0.05,0.5,8.8889,Non decreasing
0.11111,0.22222,0.05,0.5,10,Non decreasing
0.11111,0.33333,0.05,0.33333,5.5556,Non decreasing
0.11111,0.33333,0.05,0.33333,6.6667,Non decreasing
0.11111,0.33333,0.05,0.33333,7.7778,Non decreasing
0.11111,0.33333,0.05,0.33333,8.8889,Non decreasing
0.11111,0.33333,0.05,0.33333,10,Non decreasing
0.11111,0.33333,0.05,0.5,6.6667,Non decreasing
0.11111,0.33333,0.05,0.5,7.7778,Non decreasing
0.11111,0.33333,0.05,0.5,8.8889,Non decreasing
0.11111,0.33333,0.05,0.5,10,Non decreasing
0.11111,0.44444,0.05,0.33333,5.5556,Non decreasing
0.11111,0.44444,0.05,0.33333,6.6667,Non decreasing
0.11111,0.44444,0.05,0.33333,7.7778,Non decreasing
0.11111,0.44444,0.05,0.33333,8.8889,Non decreasing
0.11111,0.44444,0.05,0.33333,10,Non decreasing
0.11111,0.44444,0.05,0.5,6.6667,Non decreasing
0.11111,0.44444,0.05,0.5,7.7778,Non decreasing
0.11111,0.44444,0.05,0.5,8.8889,Non decreasing
0.11111,0.44444,0.05,0.5,10,Non decreasing
0.11111,0.55556,0.05,0.33333,5.5556,Non decreasing
0.11111,0.55556,0.05,0.33333,6.6667,Non decreasing
0.11111,0.55556,0.05,0.33333,7.7778,Non decreasing
0.11111,0.55556,0.05,0.33333,8.8889,Non decreasing
0.11111,0.55556,0.05,0.33333,10,Non decreasing
0.11111,0.55556,0.05,0.5,6.6667,Non decreasing
0.11111,0.55556,0.05,0.5,7.7778,Non decreasing
0.11111,0.55556,0.05,0.5,8.8889,Non decreasing
0.11111,0.55556,0.05,0.5,10,Non decreasing
0.11111,0.66667,0.05,0.33333,5.5556,Non decreasing
0.11111,0.66667,0.05,0.33333,6.6667,Non decreasing
0.11111,0.66667,0.05,0.33333,7.7778,Non decreasing
0.11111,0.66667,0.05,0.33333,8.8889,Non decreasing
0.11111,0.66667,0.05,0.33333,10,Non decreasing
0.11111,0.66667,0.05,0.5,6.6667,Non decreasing
0.11111,0.66667,0.05,0.5,7.7778,Non decreasing
0.11111,0.66667,0.05,0.5,8.8889,Non decreasing
0.11111,0.66667,0.05,0.5,10,Non decreasing
0.11111,0.77778,0.05,0.33333,5.5556,Non decreasing
0.11111,0.77778,0.05,0.33333,6.6667,Non decreasing
0.11111,0.77778,0.05,0.33333,7.7778,Non decreasing
0.11111,0.77778,0.05,0.33333,8.8889,Non decreasing
0.11111,0.77778,0.05,0.33333,10,Non decreasing
0.11111,0.77778,0.05,0.5,6.6667,Non decreasing
0.11111,0.77778,0.05,0.5,7.7778,Non decreasing
0.11111,0.77778,0.05,0.5,8.8889,Non decreasing
0.11111,0.77778,0.05,0.5,10,Non decreasing
0.11111,0.88889,0.05,0.33333,5.5556,Non decreasing
0.11111,0.88889,0.05,0.33333,6.6667,Non decreasing
0.11111,0.88889,0.05,0.33333,7.7778,Non decreasing
0.11111,0.88889,0.05,0.33333,8.8889,Non decreasing
0.11111,0.88889,0.05,0.33333,10,Non decreasing
0.11111,0.88889,0.05,0.5,6.6667,Non decreasing
0.11111,0.88889,0.05,0.5,7.7778,Non decreasing
0.11111,0.88889,0.05,0.5,8.8889,Non decreasing
0.11111,0.88889,0.05,0.5,10,Non decreasing
0.11111,1,0.05,0.33333,5.5556,Non decreasing
0.11111,1,0.05,0.33333,6.6667,Non decreasing
0.11111,1,0.05,0.33333,7.7778,Non decreasing
0.11111,1,0.05,0.33333,8.8889,Non decreasing
0.11111,1,0.05,0.33333,10,Non decreasing
0.11111,1,0.05,0.5,6.6667,Non decreasing
0.11111,1,0.05,0.5,7.7778,Non decreasing
0.11111,1,0.05,0.5,8.8889,Non decreasing
0.11111,1,0.05,0.5,10,Non decreasing
0.22222,0,0.05,0.33333,5.5556,Non decreasing
0.22222,0,0.05,0.33333,6.6667,Non decreasing
0.22222,0,0.05,0.33333,7.7778,Non decreasing
0.22222,0,0.05,0.33333,8.8889,Non decreasing
0.22222,0,0.05,0.33333,10,Non decreasing
0.22222,0,0.05,0.5,6.6667,Non decreasing
0.22222,0,0.05,0.5,7.7778,Non decreasing
0.22222,0,0.05,0.5,8.8889,Non decreasing
0.22222,0,0.05,0.5,10,Non decreasing
0.22222,0.11111,0.05,0.33333,5.5556,Non decreasing
0.22222,0.11111,0.05,0.33333,6.6667,Non decreasing
0.22222,0.11111,0.05,0.33333,7.7778,Non decreasing
0.22222,0.11111,0.05,0.33333,8.8889,Non decreasing
0.22222,0.11111,0.05,0.33333,10,Non decreasing
0.22222,0.11111,0.05,0.5,6.6667,Non decreasing
0.22222,0.11111,0.05,0.5,7.7778,Non decreasing
0.22222,0.11111,0.05,0.5,8.8889,Non decreasing
0.22222,0.11111,0.05,0.5,10,Non decreasing
0.22222,0.33333,0.05,0.33333,5.5556,Non decreasing
0.22222,0.33333,0.05,0.33333,6.6667,Non decreasing
0.22222,0.33333,0.05,0.33333,7.7778,Non decreasing
0.22222,0.33333,0.05,0.33333,8.8889,Non decreasing
0.22222,0.33333,0.05,0.33333,10,Non decreasing
0.22222,0.33333,0.05,0.5,6.6667,Non decreasing
0.22222,0.33333,0.05,0.5,7.7778,Non decreasing
0.22222,0.33333,0.05,0.5,8.8889,Non decreasing
0.22222,0.33333,0.05,0.5,10,Non decreasing
0.22222,0.44444,0.05,0.33333,5.5556,Non decreasing
0.22222,0.44444,0.05,0.33333,6.6667,Non decreasing
0.22222,0.44444,0.05,0.33333,7.7778,Non decreasing
0.22222,0.44444,0.05,0.33333,8.8889,Non decreasing
0.22222,0.44444,0.05,0.33333,10,Non decreasing
0.22222,0.44444,0.05,0.5,6.6667,Non decreasing
0.22222,0.44444,0.05,0.5,7.7778,Non decreasing
0.22222,0.44444,0.05,0.5,8.8889,Non decreasing
0.22222,0.44444,0.05,0.5,10,Non decreasing
0.22222,0.55556,0.05,0.33333,5.5556,Non decreasing
0.22222,0.55556,0.05,0.33333,6.6667,Non decreasing
0.22222,0.55556,0.05,0.33333,7.7778,Non decreasing
0.22222,0.55556,0.05,0.33333,8.8889,Non decreasing
0.22222,0.55556,0.05,0.33333,10,Non decreasing
0.22222,0.55556,0.05,0.5,6.6667,Non decreasing
0.22222,0.55556,0.05,0.5,7.7778,Non decreasing
0.22222,0.55556,0.05,0.5,8.8889,Non decreasing
0.22222,0.55556,0.05,0.5,10,Non decreasing
0.22222,0.66667,0.05,0.33333,5.5556,Non decreasing
0.22222,0.66667,0.05,0.33333,6.6667,Non decreasing
0.22222,0.66667,0.05,0.33333,7.7778,Non decreasing
0.22222,0.66667,0.05,0.33333,8.8889,Non decreasing
0.22222,0.66667,0.05,0.33333,10,Non decreasing
0.22222,0.66667,0.05,0.5,6.6667,Non decreasing
0.22222,0.66667,0.05,0.5,7.7778,Non decreasing
0.22222,0.66667,0.05,0.5,8.8889,Non decreasing
0.22222,0.66667,0.05,0.5,10,Non decreasing
0.22222,0.77778,0.05,0.33333,5.5556,Non decreasing
0.22222,0.77778,0.05,0.33333,6.6667,Non decreasing
0.22222,0.77778,0.05,0.33333,7.7778,Non decreasing
0.22222,0.77778,0.05,0.33333,8.8889,Non decreasing
0.22222,0.77778,0.05,0.33333,10,Non decreasing
0.22222,0.77778,0.05,0.5,6.6667,Non decreasing
0.22222,0.77778,0.05,0.5,7.7778,Non decreasing
0.22222,0.77778,0.05,0.5,8.8889,Non decreasing
0.22222,0.77778,0.05,0.5,10,Non decreasing
0.22222,0.88889,0.05,0.33333,5.5556,Non decreasing
0.22222,0.88889,0.05,0.33333,6.6667,Non decreasing
0.22222,0.88889,0.05,0.33333,7.7778,Non decreasing
0.22222,0.88889,0.05,0.33333,8.8889,Non decreasing
0.22222,0.88889,0.05,0.33333,10,Non decreasing
0.22222,0.88889,0.05,0.5,6.6667,Non decreasing
0.22222,0.88889,0.05,0.5,7.7778,Non decreasing
0.22222,0.88889,0.05,0.5,8.8889,Non decreasing
0.22222,0.88889,0.05,0.5,10,Non decreasing
0.22222,1,0.05,0.33333,5.5556,Non decreasing
0.22222,1,0.05,0.33333,6.6667,Non decreasing
0.22222,1,0.05,0.33333,7.7778,Non decreasing
0.22222,1,0.05,0.33333,8.8889,Non decreasing
0.22222,1,0.05,0.33333,10,Non decreasing
0.22222,1,0.05,0.5,6.6667,Non decreasing
0.22222,1,0.05,0.5,7.7778,Non decreasing
0.22222,1,0.05,0.5,8.8889,Non decreasing
0.22222,1,0.05,0.5,10,Non decreasing
0.33333,0,0.05,0.33333,5.5556,Non decreasing
0.33333,0,0.05,0.33333,6.6667,Non decreasing
0.33333,0,0.05,0.33333,7.7778,Non decreasing
0.33333,0,0.05,0.33333,8.8889,Non decreasing
0.33333,0,0.05,0.33333,10,Non decreasing
0.33333,0,0.05,0.5,6.6667,Non decreasing
0.33333,0,0.05,0.5,7.7778,Non decreasing
0.33333,0,0.05,0.5,8.8889,Non decreasing
0.33333,0,0.05,0.5,10,Non decreasing
0.33333,0.11111,0.05,0.33333,5.5556,Non decreasing
0.33333,0.11111,0.05,0.33333,6.6667,Non decreasing
0.33333,0.11111,0.05,0.33333,7.7778,Non decreasing
0.33333,0.11111,0.05,0.33333,8.8889,Non decreasing
0.33333,0.11111,0.05,0.33333,10,Non decreasing
0.33333,0.11111,0.05,0.5,6.6667,Non decreasing
0.33333,0.11111,0.05,0.5,7.7778,Non decreasing
0.33333,0.11111,0.05,0.5,8.8889,Non decreasing
0.33333,0.11111,0.05,0.5,10,Non decreasing
0.33333,0.22222,0.05,0.33333,5.5556,Non decreasing
0.33333,0.22222,0.05,0.33333,6.6667,Non decreasing
0.33333,0.22222,0.05,0.33333,7.7778,Non decreasing
0.33333,0.22222,0.05,0.33333,8.8889,Non decreasing
0.33333,0.22222,0.05,0.33333,10,Non decreasing
0.33333,0.22222,0.05,0.5,6.6667,Non decreasing
0.33333,0.22222,0.05,0.5,7.7778,Non decreasing
0.33333,0.22222,0.05,0.5,8.8889,Non decreasing
0.33333,0.22222,0.05,0.5,10,Non decreasing
0.33333,0.44444,0.05,0.33333,5.5556,Non decreasing
0.33333,0.44444,0.05,0.33333,6.6667,Non decreasing
0.33333,0.44444,0.05,0.33333,7.7778,Non decreasing
0.33333,0.44444,0.05,0.33333,8.8889,Non decreasing
0.33333,0.44444,0.05,0.33333,10,Non decreasing
0.33333,0.44444,0.05,0.5,6.6667,Non decreasing
0.33333,0.44444,0.05,0.5,7.7778,Non decreasing
0.33333,0.44444,0.05,0.5,8.8889,Non decreasing
0.33333,0.44444,0.05,0.5,10,Non decreasing
0.33333,0.55556,0.05,0.33333,5.5556,Non decreasing
0.33333,0.55556,0.05,0.33333,6.6667,Non decreasing
0.33333,0.55556,0.05,0.33333,7.7778,Non decreasing
0.33333,0.55556,0.05,0.33333,8.8889,Non decreasing
0.33333,0.55556,0.05,0.33333,10,Non decreasing
0.33333,0.55556,0.05,0.5,6.6667,Non decreasing
0.33333,0.55556,0.05,0.5,7.7778,Non decreasing
0.33333,0.55556,0.05,0.5,8.8889,Non decreasing
0.33333,0.55556,0.05,0.5,10,Non decreasing
0.33333,0.66667,0.05,0.33333,5.5556,Non decreasing
0.33333,0.66667,0.05,0.33333,6.6667,Non decreasing
0.33333,0.66667,0.05,0.33333,7.7778,Non decreasing
0.33333,0.66667,0.05,0.33333,8.8889,Non decreasing
0.33333,0.66667,0.05,0.33333,10,Non decreasing
0.33333,0.66667,0.05,0.5,6.6667,Non decreasing
0.33333,0.66667,0.05,0.5,7.7778,Non decreasing
0.33333,0.66667,0.05,0.5,8.8889,Non decreasing
0.33333,0.66667,0.05,0.5,10,Non decreasing
0.33333,0.77778,0.05,0.33333,5.5556,Non decreasing
0.33333,0.77778,0.05,0.33333,6.6667,Non decreasing
0.33333,0.77778,0.05,0.33333,7.7778,Non decreasing
0.33333,0.77778,0.05,0.33333,8.8889,Non decreasing
0.33333,0.77778,0.05,0.33333,10,Non decreasing
0.33333,0.77778,0.05,0.5,6.6667,Non decreasing
0.33333,0.77778,0.05,0.5,7.7778,Non decreasing
0.33333,0.77778,0.05,0.5,8.8889,Non decreasing
0.33333,0.77778,0.05,0.5,10,Non decreasing
0.33333,0.88889,0.05,0.33333,5.5556,Non decreasing
0.33333,0.88889,0.05,0.33333,6.6667,Non decreasing
0.33333,0.88889,0.05,0.33333,7.7778,Non decreasing
0.33333,0.88889,0.05,0.33333,8.8889,Non decreasing
0.33333,0.88889,0.05,0.33333,10,Non decreasing
0.33333,0.88889,0.05,0.5,6.6667,Non decreasing
0.33333,0.88889,0.05,0.5,7.7778,Non decreasing
0.33333,0.88889,0.05,0.5,8.8889,Non decreasing
0.33333,0.88889,0.05,0.5,10,Non decreasing
0.33333,1,0.05,0.33333,5.5556,Non decreasing
0.33333,1,0.05,0.33333,6.6667,Non decreasing
0.33333,1,0.05,0.33333,7.7778,Non decreasing
0.33333,1,0.05,0.33333,8.8889,Non decreasing
0.33333,1,0.05,0.33333,10,Non decreasing
0.33333,1,0.05,0.5,6.6667,Non decreasing
0.33333,1,0.05,0.5,7.7778,Non decreasing
0.33333,1,0.05,0.5,8.8889,Non decreasing
0.33333,1,0.05,0.5,10,Non decreasing
0.44444,0,0.05,0.33333,5.5556,Non decreasing
0.44444,0,0.05,0.33333,6.6667,Non decreasing
0.44444,0,0.05,0.33333,7.7778,Non decreasing
0.44444,0,0.05,0.33333,8.8889,Non decreasing
0.44444,0,0.05,0.33333,10,Non decreasing
0.44444,0,0.05,0.5,6.6667,Non decreasing
0.44444,0,0.05,0.5,7.7778,Non decreasing
0.44444,0,0.05,0.5,8.8889,Non decreasing
0.44444,0,0.05,0.5,10,Non decreasing
0.44444,0.11111,0.05,0.33333,5.5556,Non decreasing
0.44444,0.11111,0.05,0.33333,6.6667,Non decreasing
0.44444,0.11111,0.05,0.33333,7.7778,Non decreasing
0.44444,0.11111,0.05,0.33333,8.8889,Non decreasing
0.44444,0.11111,0.05,0.33333,10,Non decreasing
0.44444,0.11111,0.05,0.5,6.6667,Non decreasing
0.44444,0.11111,0.05,0.5,7.7778,Non decreasing
0.44444,0.11111,0.05,0.5,8.8889,Non decreasing
0.44444,0.11111,0.05,0.5,10,Non decreasing
0.44444,0.22222,0.05,0.33333,5.5556,Non decreasing
0.44444,0.22222,0.05,0.33333,6.6667,Non decreasing
0.44444,0.22222,0.05,0.33333,7.7778,Non decreasing
0.44444,0.22222,0.05,0.33333,8.8889,Non decreasing
0.44444,0.22222,0.05,0.33333,10,Non decreasing
0.44444,0.22222,0.05,0.5,6.6667,Non decreasing
0.44444,0.22222,0.05,0.5,7.7778,Non decreasing
0.44444,0.22222,0.05,0.5,8.8889,Non decreasing
0.44444,0.22222,0.05,0.5,10,Non decreasing
0.44444,0.33333,0.05,0.33333,5.5556,Non decreasing
0.44444,0.33333,0.05,0.33333,6.6667,Non decreasing
0.44444,0.33333,0.05,0.33333,7.7778,Non decreasing
0.44444,0.33333,0.05,0.33333,8.8889,Non decreasing
0.44444,0.33333,0.05,0.33333,10,Non decreasing
0.44444,0.33333,0.05,0.5,6.6667,Non decreasing
0.44444,0.33333,0.05,0.5,7.7778,Non decreasing
0.44444,0.33333,0.05,0.5,8.8889,Non decreasing
0.44444,0.33333,0.05,0.5,10,Non decreasing
0.44444,0.55556,0.05,0.33333,5.5556,Non decreasing
0.44444,0.55556,0.05,0.33333,6.6667,Non decreasing
0.44444,0.55556,0.05,0.33333,7.7778,Non decreasing
0.44444,0.55556,0.05,0.33333,8.8889,Non decreasing
0.44444,0.55556,0.05,0.33333,10,Non decreasing
0.44444,0.55556,0.05,0.5,6.6667,Non decreasing
0.44444,0.55556,0.05,0.5,7.7778,Non decreasing
0.44444,0.55556,0.05,0.5,8.8889,Non decreasing
0.44444,0.55556,0.05,0.5,10,Non decreasing
0.44444,0.66667,0.05,0.33333,5.5556,Non decreasing
0.44444,0.66667,0.05,0.33333,6.6667,Non decreasing
0.44444,0.66667,0.05,0.33333,7.7778,Non decreasing
0.44444,0.66667,0.05,0.33333,8.8889,Non decreasing
0.44444,0.66667,0.05,0.33333,10,Non decreasing
0.44444,0.66667,0.05,0.5,6.6667,Non decreasing
0.44444,0.66667,0.05,0.5,7.7778,Non decreasing
0.44444,0.66667,0.05,0.5,8.8889,Non decreasing
0.44444,0.66667,0.05,0.5,10,Non decreasing
0.44444,0.77778,0.05,0.33333,5.5556,Non decreasing
0.44444,0.77778,0.05,0.33333,6.6667,Non decreasing
0.44444,0.77778,0.05,0.33333,7.7778,Non decreasing
0.44444,0.77778,0.05,0.33333,8.8889,Non decreasing
0.44444,0.77778,0.05,0.33333,10,Non decreasing
0.44444,0.77778,0.05,0.5,6.6667,Non decreasing
0.44444,0.77778,0.05,0.5,7.7778,Non decreasing
0.44444,0.77778,0.05,0.5,8.8889,Non decreasing
0.44444,0.77778,0.05,0.5,10,Non decreasing
0.44444,0.88889,0.05,0.33333,5.5556,Non decreasing
0.44444,0.88889,0.05,0.33333,6.6667,Non decreasing
0.44444,0.88889,0.05,0.33333,7.7778,Non decreasing
0.44444,0.88889,0.05,0.33333,8.8889,Non decreasing
0.44444,0.88889,0.05,0.33333,10,Non decreasing
0.44444,0.88889,0.05,0.5,6.6667,Non decreasing
0.44444,0.88889,0.05,0.5,7.7778,Non decreasing
0.44444,0.88889,0.05,0.5,8.8889,Non decreasing
0.44444,0.88889,0.05,0.5,10,Non decreasing
0.44444,1,0.05,0.33333,5.5556,Non decreasing
0.44444,1,0.05,0.33333,6.6667,Non decreasing
0.44444,1,0.05,0.33333,7.7778,Non decreasing
0.44444,1,0.05,0.33333,8.8889,Non decreasing
0.44444,1,0.05,0.33333,10,Non decreasing
0.44444,1,0.05,0.5,6.6667,Non decreasing
0.44444,1,0.05,0.5,7.7778,Non decreasing
0.44444,1,0.05,0.5,8.8889,Non decreasing
