L,H,Tau,P,A,Problem
0.44444,1,0.05,0.5,10,Non decreasing
0.55556,0,0.05,0.33333,5.5556,Non decreasing
0.55556,0,0.05,0.33333,6.6667,Non decreasing
0.55556,0,0.05,0.33333,7.7778,Non decreasing
0.55556,0,0.05,0.33333,8.8889,Non decreasing
0.55556,0,0.05,0.33333,10,Non decreasing
0.55556,0,0.05,0.5,6.6667,Non decreasing
0.55556,0,0.05,0.5,7.7778,Non decreasing
0.55556,0,0.05,0.5,8.8889,Non decreasing
0.55556,0,0.05,0.5,10,Non decreasing
0.55556,0.11111,0.05,0.33333,5.5556,Non decreasing
0.55556,0.11111,0.05,0.33333,6.6667,Non decreasing
0.55556,0.11111,0.05,0.33333,7.7778,Non decreasing
0.55556,0.11111,0.05,0.33333,8.8889,Non decreasing
0.55556,0.11111,0.05,0.33333,10,Non decreasing
0.55556,0.11111,0.05,0.5,6.6667,Non decreasing
0.55556,0.11111,0.05,0.5,7.7778,Non decreasing
0.55556,0.11111,0.05,0.5,8.8889,Non decreasing
0.55556,0.11111,0.05,0.5,10,Non decreasing
0.55556,0.22222,0.05,0.33333,5.5556,Non decreasing
0.55556,0.22222,0.05,0.33333,6.6667,Non decreasing
0.55556,0.22222,0.05,0.33333,7.7778,Non decreasing
0.55556,0.22222,0.05,0.33333,8.8889,Non decreasing
0.55556,0.22222,0.05,0.33333,10,Non decreasing
0.55556,0.22222,0.05,0.5,6.6667,Non decreasing
0.55556,0.22222,0.05,0.5,7.7778,Non decreasing
0.55556,0.22222,0.05,0.5,8.8889,Non decreasing
0.55556,0.22222,0.05,0.5,10,Non decreasing
0.55556,0.33333,0.05,0.33333,5.5556,Non decreasing
0.55556,0.33333,0.05,0.33333,6.6667,Non decreasing
0.55556,0.33333,0.05,0.33333,7.7778,Non decreasing
0.55556,0.33333,0.05,0.33333,8.8889,Non decreasing
0.55556,0.33333,0.05,0.33333,10,Non decreasing
0.55556,0.33333,0.05,0.5,6.6667,Non decreasing
0.55556,0.33333,0.05,0.5,7.7778,Non decreasing
0.55556,0.33333,0.05,0.5,8.8889,Non decreasing
0.55556,0.33333,0.05,0.5,10,Non decreasing
0.55556,0.44444,0.05,0.33333,5.5556,Non decreasing
0.55556,0.44444,0.05,0.33333,6.6667,Non decreasing
0.55556,0.44444,0.05,0.33333,7.7778,Non decreasing
0.55556,0.44444,0.05,0.33333,8.8889,Non decreasing
0.55556,0.44444,0.05,0.33333,10,Non decreasing
0.55556,0.44444,0.05,0.5,6.6667,Non decreasing
0.55556,0.44444,0.05,0.5,7.7778,Non decreasing
0.55556,0.44444,0.05,0.5,8.8889,Non decreasing
0.55556,0.44444,0.05,0.5,10,Non decreasing
0.55556,0.66667,0.05,0.33333,5.5556,Non decreasing
0.55556,0.66667,0.05,0.33333,6.6667,Non decreasing
0.55556,0.66667,0.05,0.33333,7.7778,Non decreasing
0.55556,0.66667,0.05,0.33333,8.8889,Non decreasing
0.55556,0.66667,0.05,0.33333,10,Non decreasing
0.55556,0.66667,0.05,0.5,6.6667,Non decreasing
0.55556,0.66667,0.05,0.5,7.7778,Non decreasing
0.55556,0.66667,0.05,0.5,8.8889,Non decreasing
0.55556,0.66667,0.05,0.5,10,Non decreasing
0.55556,0.77778,0.05,0.33333,5.5556,Non decreasing
0.55556,0.77778,0.05,0.33333,6.6667,Non decreasing
0.55556,0.77778,0.05,0.33333,7.7778,Non decreasing
0.55556,0.77778,0.05,0.33333,8.8889,Non decreasing
0.55556,0.77778,0.05,0.33333,10,Non decreasing
0.55556,0.77778,0.05,0.5,6.6667,Non decreasing
0.55556,0.77778,0.05,0.5,7.7778,Non decreasing
0.55556,0.77778,0.05,0.5,8.8889,Non decreasing
0.55556,0.77778,0.05,0.5,10,Non decreasing
0.55556,0.88889,0.05,0.33333,5.5556,Non decreasing
0.55556,0.88889,0.05,0.33333,6.6667,Non decreasing
0.55556,0.88889,0.05,0.33333,7.7778,Non decreasing
0.55556,0.88889,0.05,0.33333,8.8889,Non decreasing
0.55556,0.88889,0.05,0.33333,10,Non decreasing
0.55556,0.88889,0.05,0.5,6.6667,Non decreasing
0.55556,0.88889,0.05,0.5,7.7778,Non decreasing
0.55556,0.88889,0.05,0.5,8.8889,Non decreasing
0.55556,0.88889,0.05,0.5,10,Non decreasing
0.55556,1,0.05,0.33333,5.5556,Non decreasing
0.55556,1,0.05,0.33333,6.6667,Non decreasing
0.55556,1,0.05,0.33333,7.7778,Non decreasing
0.55556,1,0.05,0.33333,8.8889,Non decreasing
0.55556,1,0.05,0.33333,10,Non decreasing
0.55556,1,0.05,0.5,6.6667,Non decreasing
0.55556,1,0.05,0.5,7.7778,Non decreasing
0.55556,1,0.05,0.5,8.8889,Non decreasing
0.55556,1,0.05,0.5,10,Non decreasing
0.66667,0,0.05,0.33333,5.5556,Non decreasing
0.66667,0,0.05,0.33333,6.6667,Non decreasing
0.66667,0,0.05,0.33333,7.7778,Non decreasing
0.66667,0,0.05,0.33333,8.8889,Non decreasing
0.66667,0,0.05,0.33333,10,Non decreasing
0.66667,0,0.05,0.5,6.6667,Non decreasing
0.66667,0,0.05,0.5,7.7778,Non decreasing
0.66667,0,0.05,0.5,8.8889,Non decreasing
0.66667,0,0.05,0.5,10,Non decreasing
0.66667,0.11111,0.05,0.33333,5.5556,Non decreasing
0.66667,0.11111,0.05,0.33333,6.6667,Non decreasing
0.66667,0.11111,0.05,0.33333,7.7778,Non decreasing
0.66667,0.11111,0.05,0.33333,8.8889,Non decreasing
0.66667,0.11111,0.05,0.33333,10,Non decreasing
0.66667,0.11111,0.05,0.5,6.6667,Non decreasing
0.66667,0.11111,0.05,0.5,7.7778,Non decreasing
0.66667,0.11111,0.05,0.5,8.8889,Non decreasing
0.66667,0.11111,0.05,0.5,10,Non decreasing
0.66667,0.22222,0.05,0.33333,5.5556,Non decreasing
0.66667,0.22222,0.05,0.33333,6.6667,Non decreasing
0.66667,0.22222,0.05,0.33333,7.7778,Non decreasing
0.66667,0.22222,0.05,0.33333,8.8889,Non decreasing
0.66667,0.22222,0.05,0.33333,10,Non decreasing
0.66667,0.22222,0.05,0.5,6.6667,Non decreasing
0.66667,0.22222,0.05,0.5,7.7778,Non decreasing
0.66667,0.22222,0.05,0.5,8.8889,Non decreasing
0.66667,0.22222,0.05,0.5,10,Non decreasing
0.66667,0.33333,0.05,0.33333,5.5556,Non decreasing
0.66667,0.33333,0.05,0.33333,6.6667,Non decreasing
0.66667,0.33333,0.05,0.33333,7.7778,Non decreasing
0.66667,0.33333,0.05,0.33333,8.8889,Non decreasing
0.66667,0.33333,0.05,0.33333,10,Non decreasing
0.66667,0.33333,0.05,0.5,6.6667,Non decreasing
0.66667,0.33333,0.05,0.5,7.7778,Non decreasing
0.66667,0.33333,0.05,0.5,8.8889,Non decreasing
0.66667,0.33333,0.05,0.5,10,Non decreasing
0.66667,0.44444,0.05,0.33333,5.5556,Non decreasing
0.66667,0.44444,0.05,0.33333,6.6667,Non decreasing
0.66667,0.44444,0.05,0.33333,7.7778,Non decreasing
0.66667,0.44444,0.05,0.33333,8.8889,Non decreasing
0.66667,0.44444,0.05,0.33333,10,Non decreasing
0.66667,0.44444,0.05,0.5,6.6667,Non decreasing
0.66667,0.44444,0.05,0.5,7.7778,Non decreasing
0.66667,0.44444,0.05,0.5,8.8889,Non decreasing
0.66667,0.44444,0.05,0.5,10,Non decreasing
0.66667,0.55556,0.05,0.33333,5.5556,Non decreasing
0.66667,0.55556,0.05,0.33333,6.6667,Non decreasing
0.66667,0.55556,0.05,0.33333,7.7778,Non decreasing
0.66667,0.55556,0.05,0.33333,8.8889,Non decreasing
0.66667,0.55556,0.05,0.33333,10,Non decreasing
0.66667,0.55556,0.05,0.5,6.6667,Non decreasing
0.66667,0.55556,0.05,0.5,7.7778,Non decreasing
0.66667,0.55556,0.05,0.5,8.8889,Non decreasing
0.66667,0.55556,0.05,0.5,10,Non decreasing
0.66667,0.77778,0.05,0.33333,5.5556,Non decreasing
0.66667,0.77778,0.05,0.33333,6.6667,Non decreasing
0.66667,0.77778,0.05,0.33333,7.7778,Non decreasing
0.66667,0.77778,0.05,0.33333,8.8889,Non decreasing
0.66667,0.77778,0.05,0.33333,10,Non decreasing
0.66667,0.77778,0.05,0.5,6.6667,Non decreasing
0.66667,0.77778,0.05,0.5,7.7778,Non decreasing
0.66667,0.77778,0.05,0.5,8.8889,Non decreasing
0.66667,0.77778,0.05,0.5,10,Non decreasing
0.66667,0.88889,0.05,0.33333,5.5556,Non decreasing
0.66667,0.88889,0.05,0.33333,6.6667,Non decreasing
0.66667,0.88889,0.05,0.33333,7.7778,Non decreasing
0.66667,0.88889,0.05,0.33333,8.8889,Non decreasing
0.66667,0.88889,0.05,0.33333,10,Non decreasing
0.66667,0.88889,0.05,0.5,6.6667,Non decreasing
0.66667,0.88889,0.05,0.5,7.7778,Non decreasing
0.66667,0.88889,0.05,0.5,8.8889,Non decreasing
0.66667,0.88889,0.05,0.5,10,Non decreasing
0.66667,1,0.05,0.33333,5.5556,Non decreasing
0.66667,1,0.05,0.33333,6.6667,Non decreasing
0.66667,1,0.05,0.33333,7.7778,Non decreasing
0.66667,1,0.05,0.33333,8.8889,Non decreasing
0.66667,1,0.05,0.33333,10,Non decreasing
0.66667,1,0.05,0.5,6.6667,Non decreasing
0.66667,1,0.05,0.5,7.7778,Non decreasing
0.66667,1,0.05,0.5,8.8889,Non decreasing
0.66667,1,0.05,0.5,10,Non decreasing
0.77778,0,0.05,0.33333,5.5556,Non decreasing
0.77778,0,0.05,0.33333,6.6667,Non decreasing
0.77778,0,0.05,0.33333,7.7778,Non decreasing
0.77778,0,0.05,0.33333,8.8889,Non decreasing
0.77778,0,0.05,0.33333,10,Non decreasing
0.77778,0,0.05,0.5,6.6667,Non decreasing
0.77778,0,0.05,0.5,7.7778,Non decreasing
0.77778,0,0.05,0.5,8.8889,Non decreasing
0.77778,0,0.05,0.5,10,Non decreasing
0.77778,0.11111,0.05,0.33333,5.5556,Non decreasing
0.77778,0.11111,0.05,0.33333,6.6667,Non decreasing
0.77778,0.11111,0.05,0.33333,7.7778,Non decreasing
0.77778,0.11111,0.05,0.33333,8.8889,Non decreasing
0.77778,0.11111,0.05,0.33333,10,Non decreasing
0.77778,0.11111,0.05,0.5,6.6667,Non decreasing
0.77778,0.11111,0.05,0.5,7.7778,Non decreasing
0.77778,0.11111,0.05,0.5,8.8889,Non decreasing
0.77778,0.11111,0.05,0.5,10,Non decreasing
0.77778,0.22222,0.05,0.33333,5.5556,Non decreasing
0.77778,0.22222,0.05,0.33333,6.6667,Non decreasing
0.77778,0.22222,0.05,0.33333,7.7778,Non decreasing
0.77778,0.22222,0.05,0.33333,8.8889,Non decreasing
0.77778,0.22222,0.05,0.33333,10,Non decreasing
0.77778,0.22222,0.05,0.5,6.6667,Non decreasing
0.77778,0.22222,0.05,0.5,7.7778,Non decreasing
0.77778,0.22222,0.05,0.5,8.8889,Non decreasing
0.77778,0.22222,0.05,0.5,10,Non decreasing
0.77778,0.33333,0.05,0.33333,5.5556,Non decreasing
0.77778,0.33333,0.05,0.33333,6.6667,Non decreasing
0.77778,0.33333,0.05,0.33333,7.7778,Non decreasing
0.77778,0.33333,0.05,0.33333,8.8889,Non decreasing
0.77778,0.33333,0.05,0.33333,10,Non decreasing
0.77778,0.33333,0.05,0.5,6.6667,Non decreasing
0.77778,0.33333,0.05,0.5,7.7778,Non decreasing
0.77778,0.33333,0.05,0.5,8.8889,Non decreasing
0.77778,0.33333,0.05,0.5,10,Non decreasing
0.77778,0.44444,0.05,0.33333,5.5556,Non decreasing
0.77778,0.44444,0.05,0.33333,6.6667,Non decreasing
0.77778,0.44444,0.05,0.33333,7.7778,Non decreasing
0.77778,0.44444,0.05,0.33333,8.8889,Non decreasing
0.77778,0.44444,0.05,0.33333,10,Non decreasing
0.77778,0.44444,0.05,0.5,6.6667,Non decreasing
0.77778,0.44444,0.05,0.5,7.7778,Non decreasing
0.77778,0.44444,0.05,0.5,8.8889,Non decreasing
0.77778,0.44444,0.05,0.5,10,Non decreasing
0.77778,0.55556,0.05,0.33333,5.5556,Non decreasing
0.77778,0.55556,0.05,0.33333,6.6667,Non decreasing
0.77778,0.55556,0.05,0.33333,7.7778,Non decreasing
0.77778,0.55556,0.05,0.33333,8.8889,Non decreasing
0.77778,0.55556,0.05,0.33333,10,Non decreasing
0.77778,0.55556,0.05,0.5,6.6667,Non decreasing
0.77778,0.55556,0.05,0.5,7.7778,Non decreasing
0.77778,0.55556,0.05,0.5,8.8889,Non decreasing
0.77778,0.55556,0.05,0.5,10,Non decreasing
0.77778,0.66667,0.05,0.33333,5.5556,Non decreasing
0.77778,0.66667,0.05,0.33333,6.6667,Non decreasing
0.77778,0.66667,0.05,0.33333,7.7778,Non decreasing
0.77778,0.66667,0.05,0.33333,8.8889,Non decreasing
0.77778,0.66667,0.05,0.33333,10,Non decreasing
0.77778,0.66667,0.05,0.5,6.6667,Non decreasing
0.77778,0.66667,0.05,0.5,7.7778,Non decreasing
0.77778,0.66667,0.05,0.5,8.8889,Non decreasing
0.77778,0.66667,0.05,0.5,10,Non decreasing
0.77778,0.88889,0.05,0.33333,5.5556,Non decreasing
0.77778,0.88889,0.05,0.33333,6.6667,Non decreasing
0.77778,0.88889,0.05,0.33333,7.7778,Non decreasing
0.77778,0.88889,0.05,0.33333,8.8889,Non decreasing
0.77778,0.88889,0.05,0.33333,10,Non decreasing
0.77778,0.88889,0.05,0.5,6.6667,Non decreasing
0.77778,0.88889,0.05,0.5,7.7778,Non decreasing
0.77778,0.88889,0.05,0.5,8.8889,Non decreasing
0.77778,0.88889,0.05,0.5,10,Non decreasing
0.77778,1,0.05,0.33333,5.5556,Non decreasing
0.77778,1,0.05,0.33333,6.6667,Non decreasing
0.77778,1,0.05,0.33333,7.7778,Non decreasing
0.77778,1,0.05,0.33333,8.8889,Non decreasing
0.77778,1,0.05,0.33333,10,Non decreasing
0.77778,1,0.05,0.5,6.6667,Non decreasing
0.77778,1,0.05,0.5,7.7778,Non decreasing
0.77778,1,0.05,0.5,8.8889,Non decreasing
0.77778,1,0.05,0.5,10,Non decreasing
0.88889,0,0.05,0.33333,5.5556,Non decreasing
0.88889,0,0.05,0.33333,6.6667,Non decreasing
0.88889,0,0.05,0.33333,7.7778,Non decreasing
0.88889,0,0.05,0.33333,8.8889,Non decreasing
0.88889,0,0.05,0.33333,10,Non decreasing
0.88889,0,0.05,0.5,6.6667,Non decreasing
0.88889,0,0.05,0.5,7.7778,Non decreasing
0.88889,0,0.05,0.5,8.8889,Non decreasing
0.88889,0,0.05,0.5,10,Non decreasing
0.88889,0.11111,0.05,0.33333,5.5556,Non decreasing
0.88889,0.11111,0.05,0.33333,6.6667,Non decreasing
0.88889,0.11111,0.05,0.33333,7.7778,Non decreasing
0.88889,0.11111,0.05,0.33333,8.8889,Non decreasing
0.88889,0.11111,0.05,0.33333,10,Non decreasing
0.88889,0.11111,0.05,0.5,6.6667,Non decreasing
0.88889,0.11111,0.05,0.5,7.7778,Non decreasing
0.88889,0.11111,0.05,0.5,8.8889,Non decreasing
0.88889,0.11111,0.05,0.5,10,Non decreasing
0.88889,0.22222,0.05,0.33333,5.5556,Non decreasing
0.88889,0.22222,0.05,0.33333,6.6667,Non decreasing
0.88889,0.22222,0.05,0.33333,7.7778,Non decreasing
0.88889,0.22222,0.05,0.33333,8.8889,Non decreasing
0.88889,0.22222,0.05,0.33333,10,Non decreasing
0.88889,0.22222,0.05,0.5,6.6667,Non decreasing
0.88889,0.22222,0.05,0.5,7.7778,Non decreasing
0.88889,0.22222,0.05,0.5,8.8889,Non decreasing
0.88889,0.22222,0.05,0.5,10,Non decreasing
0.88889,0.33333,0.05,0.33333,5.5556,Non decreasing
0.88889,0.33333,0.05,0.33333,6.6667,Non decreasing
0.88889,0.33333,0.05,0.33333,7.7778,Non decreasing
0.88889,0.33333,0.05,0.33333,8.8889,Non decreasing
0.88889,0.33333,0.05,0.33333,10,Non decreasing
0.88889,0.33333,0.05,0.5,6.6667,Non decreasing
0.88889,0.33333,0.05,0.5,7.7778,Non decreasing
0.88889,0.33333,0.05,0.5,8.8889,Non decreasing
0.88889,0.33333,0.05,0.5,10,Non decreasing
0.88889,0.44444,0.05,0.33333,5.5556,Non decreasing
0.88889,0.44444,0.05,0.33333,6.6667,Non decreasing
0.88889,0.44444,0.05,0.33333,7.7778,Non decreasing
0.88889,0.44444,0.05,0.33333,8.8889,Non decreasing
0.88889,0.44444,0.05,0.33333,10,Non decreasing
0.88889,0.44444,0.05,0.5,6.6667,Non decreasing
0.88889,0.44444,0.05,0.5,7.7778,Non decreasing
0.88889,0.44444,0.05,0.5,8.8889,Non decreasing
0.88889,0.44444,0.05,0.5,10,Non decreasing
0.88889,0.55556,0.05,0.33333,5.5556,Non decreasing
0.88889,0.55556,0.05,0.33333,6.6667,Non decreasing
0.88889,0.55556,0.05,0.33333,7.7778,Non decreasing
0.88889,0.55556,0.05,0.33333,8.8889,Non decreasing
0.88889,0.55556,0.05,0.33333,10,Non decreasing
0.88889,0.55556,0.05,0.5,6.6667,Non decreasing
0.88889,0.55556,0.05,0.5,7.7778,Non decreasing
0.88889,0.55556,0.05,0.5,8.8889,Non decreasing
0.88889,0.55556,0.05,0.5,10,Non decreasing
0.88889,0.66667,0.05,0.33333,5.5556,Non decreasing
0.88889,0.66667,0.05,0.33333,6.6667,Non decreasing
0.88889,0.66667,0.05,0.33333,7.7778,Non decreasing
0.88889,0.66667,0.05,0.33333,8.8889,Non decreasing
0.88889,0.66667,0.05,0.33333,10,Non decreasing
0.88889,0.66667,0.05,0.5,6.6667,Non decreasing
0.88889,0.66667,0.05,0.5,7.7778,Non decreasing
0.88889,0.66667,0.05,0.5,8.8889,Non decreasing
0.88889,0.66667,0.05,0.5,10,Non decreasing
0.88889,0.77778,0.05,0.33333,5.5556,Non decreasing
0.88889,0.77778,0.05,0.33333,6.6667,Non decreasing
0.88889,0.77778,0.05,0.33333,7.7778,Non decreasing
0.88889,0.77778,0.05,0.33333,8.8889,Non decreasing
0.88889,0.77778,0.05,0.33333,10,Non decreasing
0.88889,0.77778,0.05,0.5,6.6667,Non decreasing
0.88889,0.77778,0.05,0.5,7.7778,Non decreasing
0.88889,0.77778,0.05,0.5,8.8889,Non decreasing
0.88889,0.77778,0.05,0.5,10,Non decreasing
0.88889,1,0.05,0.33333,5.5556,Non decreasing
0.88889,1,0.05,0.33333,6.6667,Non decreasing
0.88889,1,0.05,0.33333,7.7778,Non decreasing
0.88889,1,0.05,0.33333,8.8889,Non decreasing
0.88889,1,0.05,0.33333,10,Non decreasing
0.88889,1,0.05,0.5,6.6667,Non decreasing
0.88889,1,0.05,0.5,7.7778,Non decreasing
0.88889,1,0.05,0.5,8.8889,Non decreasing
0.88889,1,0.05,0.5,10,Non decreasing
1,0,0.05,0.33333,5.5556,Non decreasing
1,0,0.05,0.33333,6.6667,Non decreasing
1,0,0.05,0.33333,7.7778,Non decreasing
1,0,0.05,0.33333,8.8889,Non decreasing
1,0,0.05,0.33333,10,Non decreasing
1,0,0.05,0.5,6.6667,Non decreasing
1,0,0.05,0.5,7.7778,Non decreasing
1,0,0.05,0.5,8.8889,Non decreasing
1,0,0.05,0.5,10,Non decreasing
1,0.11111,0.05,0.33333,5.5556,Non decreasing
1,0.11111,0.05,0.33333,6.6667,Non decreasing
1,0.11111,0.05,0.33333,7.7778,Non decreasing
1,0.11111,0.05,0.33333,8.8889,Non decreasing
1,0.11111,0.05,0.33333,10,Non decreasing
1,0.11111,0.05,0.5,6.6667,Non decreasing
1,0.11111,0.05,0.5,7.7778,Non decreasing
1,0.11111,0.05,0.5,8.8889,Non decreasing
1,0.11111,0.05,0.5,10,Non decreasing
1,0.22222,0.05,0.33333,5.5556,Non decreasing
1,0.22222,0.05,0.33333,6.6667,Non decreasing
1,0.22222,0.05,0.33333,7.7778,Non decreasing
1,0.22222,0.05,0.33333,8.8889,Non decreasing
1,0.22222,0.05,0.33333,10,Non decreasing
1,0.22222,0.05,0.5,6.6667,Non decreasing
1,0.22222,0.05,0.5,7.7778,Non decreasing
1,0.22222,0.05,0.5,8.8889,Non decreasing
1,0.22222,0.05,0.5,10,Non decreasing
1,0.33333,0.05,0.33333,5.5556,Non decreasing
1,0.33333,0.05,0.33333,6.6667,Non decreasing
1,0.33333,0.05,0.33333,7.7778,Non decreasing
1,0.33333,0.05,0.33333,8.8889,Non decreasing
1,0.33333,0.05,0.33333,10,Non decreasing
1,0.33333,0.05,0.5,6.6667,Non decreasing
1,0.33333,0.05,0.5,7.7778,Non decreasing
1,0.33333,0.05,0.5,8.8889,Non decreasing
1,0.33333,0.05,0.5,10,Non decreasing
1,0.44444,0.05,0.33333,5.5556,Non decreasing
1,0.44444,0.05,0.33333,6.6667,Non decreasing
1,0.44444,0.05,0.33333,7.7778,Non decreasing
1,0.44444,0.05,0.33333,8.8889,Non decreasing
1,0.44444,0.05,0.33333,10,Non decreasing
1,0.44444,0.05,0.5,6.6667,Non decreasing
1,0.44444,0.05,0.5,7.7778,Non decreasing
1,0.44444,0.05,0.5,8.8889,Non decreasing
1,0.44444,0.05,0.5,10,Non decreasing
1,0.55556,0.05,0.33333,5.5556,Non decreasing
1,0.55556,0.05,0.33333,6.6667,Non decreasing
1,0.55556,0.05,0.33333,7.7778,Non decreasing
1,0.55556,0.05,0.33333,8.8889,Non decreasing
1,0.55556,0.05,0.33333,10,Non decreasing
1,0.55556,0.05,0.5,6.6667,Non decreasing
1,0.55556,0.05,0.5,7.7778,Non decreasing
1,0.55556,0.05,0.5,8.8889,Non decreasing
1,0.55556,0.05,0.5,10,Non decreasing
1,0.66667,0.05,0.33333,5.5556,Non decreasing
1,0.66667,0.05,0.33333,6.6667,Non decreasing
1,0.66667,0.05,0.33333,7.7778,Non decreasing
1,0.66667,0.05,0.33333,8.8889,Non decreasing
1,0.66667,0.05,0.33333,10,Non decreasing
1,0.66667,0.05,0.5,6.6667,Non decreasing
1,0.66667,0.05,0.5,7.7778,Non decreasing
1,0.66667,0.05,0.5,8.8889,Non decreasing
1,0.66667,0.05,0.5,10,Non decreasing
1,0.77778,0.05,0.33333,5.5556,Non decreasing
1,0.77778,0.05,0.33333,6.6667,Non decreasing
1,0.77778,0.05,0.33333,7.7778,Non decreasing
1,0.77778,0.05,0.33333,8.8889,Non decreasing
1,0.77778,0.05,0.33333,10,Non decreasing
1,0.77778,0.05,0.5,6.6667,Non decreasing
1,0.77778,0.05,0.5,7.7778,Non decreasing
1,0.77778,0.05,0.5,8.8889,Non decreasing
1,0.77778,0.05,0.5,10,Non decreasing
1,0.88889,0.05,0.33333,5.5556,Non decreasing
1,0.88889,0.05,0.33333,6.6667,Non decreasing
1,0.88889,0.05,0.33333,7.7778,Non decreasing
1,0.88889,0.05,0.33333,8.8889,Non decreasing
1,0.88889,0.05,0.33333,10,Non decreasing
1,0.88889,0.05,0.5,6.6667,Non decreasing
1,0.88889,0.05,0.5,7.7778,Non decreasing
1,0.88889,0.05,0.5,8.8889,Non decreasing
1,0.88889,0.05,0.5,10,Non decreasing
