L,H,C,Tau,Decreasing
0,0.8,1,0.05,1
0,0.8,1,0.15,1
0,0.8,1,0.25,1
0,0.8,1,0.35,1
0,0.8,1,0.45,1
0,0.8,1,0.55,1
0,0.8,1,0.65,1
0,0.8,1,0.75,1
0,0.8,1,0.85,1
0,0.8,1,0.95,1
0,0.8,2,0.05,1
0,0.8,2,0.15,1
0,0.8,2,0.25,1
0,0.8,2,0.35,1
0,0.8,2,0.45,1
0,0.8,2,0.55,1
0,0.8,2,0.65,1
0,0.8,2,0.75,1
0,0.8,2,0.85,1
0,0.8,2,0.95,1
0,0.8,3,0.05,1
0,0.8,3,0.15,1
0,0.8,3,0.25,1
0,0.8,3,0.35,1
0,0.8,3,0.45,1
0,0.8,3,0.55,1
0,0.8,3,0.65,1
0,0.8,3,0.75,1
0,0.8,3,0.85,1
0,0.8,3,0.95,1
0,0.8,4,0.05,1
0,0.8,4,0.15,1
0,0.8,4,0.25,1
0,0.8,4,0.35,1
0,0.8,4,0.45,1
0,0.8,4,0.55,1
0,0.8,4,0.65,1
0,0.8,4,0.75,1
0,0.8,4,0.85,1
0,0.8,4,0.95,1
0,0.8,5,0.05,1
0,0.8,5,0.15,1
0,0.8,5,0.25,1
0,0.8,5,0.35,1
0,0.8,5,0.45,1
0,0.8,5,0.55,1
0,0.8,5,0.65,1
0,0.8,5,0.75,1
0,0.8,5,0.85,1
0,0.8,5,0.95,1
0,0.8,6,0.05,1
0,0.8,6,0.15,1
0,0.8,6,0.25,1
0,0.8,6,0.35,1
0,0.8,6,0.45,1
0,0.8,6,0.55,1
0,0.8,6,0.65,1
0,0.8,6,0.75,1
0,0.8,6,0.85,1
0,0.8,6,0.95,1
0,0.8,7,0.05,1
0,0.8,7,0.15,1
0,0.8,7,0.25,1
0,0.8,7,0.35,1
0,0.8,7,0.45,1
0,0.8,7,0.55,1
0,0.8,7,0.65,1
0,0.8,7,0.75,1
0,0.8,7,0.85,1
0,0.8,7,0.95,1
0,0.8,8,0.05,1
0,0.8,8,0.15,1
0,0.8,8,0.25,1
0,0.8,8,0.35,1
0,0.8,8,0.45,1
0,0.8,8,0.55,1
0,0.8,8,0.65,1
0,0.8,8,0.75,1
0,0.8,8,0.85,1
0,0.8,8,0.95,1
0,0.8,9,0.05,1
0,0.8,9,0.15,1
0,0.8,9,0.25,1
0,0.8,9,0.35,1
0,0.8,9,0.45,1
0,0.8,9,0.55,1
0,0.8,9,0.65,1
0,0.8,9,0.75,1
0,0.8,9,0.85,1
0,0.8,9,0.95,1
0,0.8,10,0.05,1
0,0.8,10,0.15,1
0,0.8,10,0.25,1
0,0.8,10,0.35,1
0,0.8,10,0.45,1
0,0.8,10,0.55,1
0,0.8,10,0.65,1
0,0.8,10,0.75,1
0,0.8,10,0.85,1
0,0.8,10,0.95,1
0.0888888888888889,0.8,1,0.05,1
0.0888888888888889,0.8,1,0.15,1
0.0888888888888889,0.8,1,0.25,1
0.0888888888888889,0.8,1,0.35,1
0.0888888888888889,0.8,1,0.45,1
0.0888888888888889,0.8,1,0.55,1
0.0888888888888889,0.8,1,0.65,1
0.0888888888888889,0.8,1,0.75,1
0.0888888888888889,0.8,1,0.85,1
0.0888888888888889,0.8,1,0.95,1
0.0888888888888889,0.8,2,0.05,1
0.0888888888888889,0.8,2,0.15,1
0.0888888888888889,0.8,2,0.25,1
0.0888888888888889,0.8,2,0.35,1
0.0888888888888889,0.8,2,0.45,1
0.0888888888888889,0.8,2,0.55,1
0.0888888888888889,0.8,2,0.65,1
0.0888888888888889,0.8,2,0.75,1
0.0888888888888889,0.8,2,0.85,1
0.0888888888888889,0.8,2,0.95,1
0.0888888888888889,0.8,3,0.05,1
0.0888888888888889,0.8,3,0.15,1
0.0888888888888889,0.8,3,0.25,1
0.0888888888888889,0.8,3,0.35,1
0.0888888888888889,0.8,3,0.45,1
0.0888888888888889,0.8,3,0.55,1
0.0888888888888889,0.8,3,0.65,1
0.0888888888888889,0.8,3,0.75,1
0.0888888888888889,0.8,3,0.85,1
0.0888888888888889,0.8,3,0.95,1
0.0888888888888889,0.8,4,0.05,1
0.0888888888888889,0.8,4,0.15,1
0.0888888888888889,0.8,4,0.25,1
0.0888888888888889,0.8,4,0.35,1
0.0888888888888889,0.8,4,0.45,1
0.0888888888888889,0.8,4,0.55,1
0.0888888888888889,0.8,4,0.65,1
0.0888888888888889,0.8,4,0.75,1
0.0888888888888889,0.8,4,0.85,1
0.0888888888888889,0.8,4,0.95,1
0.0888888888888889,0.8,5,0.05,1
0.0888888888888889,0.8,5,0.15,1
0.0888888888888889,0.8,5,0.25,1
0.0888888888888889,0.8,5,0.35,1
0.0888888888888889,0.8,5,0.45,1
0.0888888888888889,0.8,5,0.55,1
0.0888888888888889,0.8,5,0.65,1
0.0888888888888889,0.8,5,0.75,1
0.0888888888888889,0.8,5,0.85,1
0.0888888888888889,0.8,5,0.95,1
0.0888888888888889,0.8,6,0.05,1
0.0888888888888889,0.8,6,0.15,1
0.0888888888888889,0.8,6,0.25,1
0.0888888888888889,0.8,6,0.35,1
0.0888888888888889,0.8,6,0.45,1
0.0888888888888889,0.8,6,0.55,1
0.0888888888888889,0.8,6,0.65,1
0.0888888888888889,0.8,6,0.75,1
0.0888888888888889,0.8,6,0.85,1
0.0888888888888889,0.8,6,0.95,1
0.0888888888888889,0.8,7,0.05,1
0.0888888888888889,0.8,7,0.15,1
0.0888888888888889,0.8,7,0.25,1
0.0888888888888889,0.8,7,0.35,1
0.0888888888888889,0.8,7,0.45,1
0.0888888888888889,0.8,7,0.55,1
0.0888888888888889,0.8,7,0.65,1
0.0888888888888889,0.8,7,0.75,1
0.0888888888888889,0.8,7,0.85,1
0.0888888888888889,0.8,7,0.95,1
0.0888888888888889,0.8,8,0.05,1
0.0888888888888889,0.8,8,0.15,1
0.0888888888888889,0.8,8,0.25,1
0.0888888888888889,0.8,8,0.35,1
0.0888888888888889,0.8,8,0.45,1
0.0888888888888889,0.8,8,0.55,1
0.0888888888888889,0.8,8,0.65,1
0.0888888888888889,0.8,8,0.75,1
0.0888888888888889,0.8,8,0.85,1
0.0888888888888889,0.8,8,0.95,1
0.0888888888888889,0.8,9,0.05,1
0.0888888888888889,0.8,9,0.15,1
0.0888888888888889,0.8,9,0.25,1
0.0888888888888889,0.8,9,0.35,1
0.0888888888888889,0.8,9,0.45,1
0.0888888888888889,0.8,9,0.55,1
0.0888888888888889,0.8,9,0.65,1
0.0888888888888889,0.8,9,0.75,1
0.0888888888888889,0.8,9,0.85,1
0.0888888888888889,0.8,9,0.95,1
0.0888888888888889,0.8,10,0.05,1
0.0888888888888889,0.8,10,0.15,1
0.0888888888888889,0.8,10,0.25,1
0.0888888888888889,0.8,10,0.35,1
0.0888888888888889,0.8,10,0.45,1
0.0888888888888889,0.8,10,0.55,1
0.0888888888888889,0.8,10,0.65,1
0.0888888888888889,0.8,10,0.75,1
0.0888888888888889,0.8,10,0.85,1
0.0888888888888889,0.8,10,0.95,1
0.177777777777778,0.8,1,0.05,1
0.177777777777778,0.8,1,0.15,1
0.177777777777778,0.8,1,0.25,1
0.177777777777778,0.8,1,0.35,1
0.177777777777778,0.8,1,0.45,1
0.177777777777778,0.8,1,0.55,1
0.177777777777778,0.8,1,0.65,1
0.177777777777778,0.8,1,0.75,1
0.177777777777778,0.8,1,0.85,1
0.177777777777778,0.8,1,0.95,1
0.177777777777778,0.8,2,0.05,1
0.177777777777778,0.8,2,0.15,1
0.177777777777778,0.8,2,0.25,1
0.177777777777778,0.8,2,0.35,1
0.177777777777778,0.8,2,0.45,1
0.177777777777778,0.8,2,0.55,1
0.177777777777778,0.8,2,0.65,1
0.177777777777778,0.8,2,0.75,1
0.177777777777778,0.8,2,0.85,1
0.177777777777778,0.8,2,0.95,1
0.177777777777778,0.8,3,0.05,1
0.177777777777778,0.8,3,0.15,1
0.177777777777778,0.8,3,0.25,1
0.177777777777778,0.8,3,0.35,1
0.177777777777778,0.8,3,0.45,1
0.177777777777778,0.8,3,0.55,1
0.177777777777778,0.8,3,0.65,1
0.177777777777778,0.8,3,0.75,1
0.177777777777778,0.8,3,0.85,1
0.177777777777778,0.8,3,0.95,1
0.177777777777778,0.8,4,0.05,1
0.177777777777778,0.8,4,0.15,1
0.177777777777778,0.8,4,0.25,1
0.177777777777778,0.8,4,0.35,1
0.177777777777778,0.8,4,0.45,1
0.177777777777778,0.8,4,0.55,1
0.177777777777778,0.8,4,0.65,1
0.177777777777778,0.8,4,0.75,1
0.177777777777778,0.8,4,0.85,1
0.177777777777778,0.8,4,0.95,1
0.177777777777778,0.8,5,0.05,1
0.177777777777778,0.8,5,0.15,1
0.177777777777778,0.8,5,0.25,1
0.177777777777778,0.8,5,0.35,1
0.177777777777778,0.8,5,0.45,1
0.177777777777778,0.8,5,0.55,1
0.177777777777778,0.8,5,0.65,1
0.177777777777778,0.8,5,0.75,1
0.177777777777778,0.8,5,0.85,1
0.177777777777778,0.8,5,0.95,1
0.177777777777778,0.8,6,0.05,1
0.177777777777778,0.8,6,0.15,1
0.177777777777778,0.8,6,0.25,1
0.177777777777778,0.8,6,0.35,1
0.177777777777778,0.8,6,0.45,1
0.177777777777778,0.8,6,0.55,1
0.177777777777778,0.8,6,0.65,1
0.177777777777778,0.8,6,0.75,1
0.177777777777778,0.8,6,0.85,1
0.177777777777778,0.8,6,0.95,1
0.177777777777778,0.8,7,0.05,1
0.177777777777778,0.8,7,0.15,1
0.177777777777778,0.8,7,0.25,1
0.177777777777778,0.8,7,0.35,1
0.177777777777778,0.8,7,0.45,1
0.177777777777778,0.8,7,0.55,1
0.177777777777778,0.8,7,0.65,1
0.177777777777778,0.8,7,0.75,1
0.177777777777778,0.8,7,0.85,1
0.177777777777778,0.8,7,0.95,1
0.177777777777778,0.8,8,0.05,1
0.177777777777778,0.8,8,0.15,1
0.177777777777778,0.8,8,0.25,1
0.177777777777778,0.8,8,0.35,1
0.177777777777778,0.8,8,0.45,1
0.177777777777778,0.8,8,0.55,1
0.177777777777778,0.8,8,0.65,1
0.177777777777778,0.8,8,0.75,1
0.177777777777778,0.8,8,0.85,1
0.177777777777778,0.8,8,0.95,1
0.177777777777778,0.8,9,0.05,1
0.177777777777778,0.8,9,0.15,1
0.177777777777778,0.8,9,0.25,1
0.177777777777778,0.8,9,0.35,1
0.177777777777778,0.8,9,0.45,1
0.177777777777778,0.8,9,0.55,1
0.177777777777778,0.8,9,0.65,1
0.177777777777778,0.8,9,0.75,1
0.177777777777778,0.8,9,0.85,1
0.177777777777778,0.8,9,0.95,1
0.177777777777778,0.8,10,0.05,1
0.177777777777778,0.8,10,0.15,1
0.177777777777778,0.8,10,0.25,1
0.177777777777778,0.8,10,0.35,1
0.177777777777778,0.8,10,0.45,1
0.177777777777778,0.8,10,0.55,1
0.177777777777778,0.8,10,0.65,1
0.177777777777778,0.8,10,0.75,1
0.177777777777778,0.8,10,0.85,1
0.177777777777778,0.8,10,0.95,1
0.266666666666667,0.8,1,0.05,1
0.266666666666667,0.8,1,0.15,1
0.266666666666667,0.8,1,0.25,1
0.266666666666667,0.8,1,0.35,1
0.266666666666667,0.8,1,0.45,1
0.266666666666667,0.8,1,0.55,1
0.266666666666667,0.8,1,0.65,1
0.266666666666667,0.8,1,0.75,1
0.266666666666667,0.8,1,0.85,1
0.266666666666667,0.8,1,0.95,1
0.266666666666667,0.8,2,0.05,1
0.266666666666667,0.8,2,0.15,1
0.266666666666667,0.8,2,0.25,1
0.266666666666667,0.8,2,0.35,1
0.266666666666667,0.8,2,0.45,1
0.266666666666667,0.8,2,0.55,1
0.266666666666667,0.8,2,0.65,1
0.266666666666667,0.8,2,0.75,1
0.266666666666667,0.8,2,0.85,1
0.266666666666667,0.8,2,0.95,1
0.266666666666667,0.8,3,0.05,1
0.266666666666667,0.8,3,0.15,1
0.266666666666667,0.8,3,0.25,1
0.266666666666667,0.8,3,0.35,1
0.266666666666667,0.8,3,0.45,1
0.266666666666667,0.8,3,0.55,1
0.266666666666667,0.8,3,0.65,1
0.266666666666667,0.8,3,0.75,1
0.266666666666667,0.8,3,0.85,1
0.266666666666667,0.8,3,0.95,1
0.266666666666667,0.8,4,0.05,1
0.266666666666667,0.8,4,0.15,1
0.266666666666667,0.8,4,0.25,1
0.266666666666667,0.8,4,0.35,1
0.266666666666667,0.8,4,0.45,1
0.266666666666667,0.8,4,0.55,1
0.266666666666667,0.8,4,0.65,1
0.266666666666667,0.8,4,0.75,1
0.266666666666667,0.8,4,0.85,1
0.266666666666667,0.8,4,0.95,1
0.266666666666667,0.8,5,0.05,1
0.266666666666667,0.8,5,0.15,1
0.266666666666667,0.8,5,0.25,1
0.266666666666667,0.8,5,0.35,1
0.266666666666667,0.8,5,0.45,1
0.266666666666667,0.8,5,0.55,1
0.266666666666667,0.8,5,0.65,1
0.266666666666667,0.8,5,0.75,1
0.266666666666667,0.8,5,0.85,1
0.266666666666667,0.8,5,0.95,1
0.266666666666667,0.8,6,0.05,1
0.266666666666667,0.8,6,0.15,1
0.266666666666667,0.8,6,0.25,1
0.266666666666667,0.8,6,0.35,1
0.266666666666667,0.8,6,0.45,1
0.266666666666667,0.8,6,0.55,1
0.266666666666667,0.8,6,0.65,1
0.266666666666667,0.8,6,0.75,1
0.266666666666667,0.8,6,0.85,1
0.266666666666667,0.8,6,0.95,1
0.266666666666667,0.8,7,0.05,1
0.266666666666667,0.8,7,0.15,1
0.266666666666667,0.8,7,0.25,1
0.266666666666667,0.8,7,0.35,1
0.266666666666667,0.8,7,0.45,1
0.266666666666667,0.8,7,0.55,1
0.266666666666667,0.8,7,0.65,1
0.266666666666667,0.8,7,0.75,1
0.266666666666667,0.8,7,0.85,1
0.266666666666667,0.8,7,0.95,1
0.266666666666667,0.8,8,0.05,1
0.266666666666667,0.8,8,0.15,1
0.266666666666667,0.8,8,0.25,1
0.266666666666667,0.8,8,0.35,1
0.266666666666667,0.8,8,0.45,1
0.266666666666667,0.8,8,0.55,1
0.266666666666667,0.8,8,0.65,1
0.266666666666667,0.8,8,0.75,1
0.266666666666667,0.8,8,0.85,1
0.266666666666667,0.8,8,0.95,1
0.266666666666667,0.8,9,0.05,1
0.266666666666667,0.8,9,0.15,1
0.266666666666667,0.8,9,0.25,1
0.266666666666667,0.8,9,0.35,1
0.266666666666667,0.8,9,0.45,1
0.266666666666667,0.8,9,0.55,1
0.266666666666667,0.8,9,0.65,1
0.266666666666667,0.8,9,0.75,1
0.266666666666667,0.8,9,0.85,1
0.266666666666667,0.8,9,0.95,1
0.266666666666667,0.8,10,0.05,1
0.266666666666667,0.8,10,0.15,1
0.266666666666667,0.8,10,0.25,1
0.266666666666667,0.8,10,0.35,1
0.266666666666667,0.8,10,0.45,1
0.266666666666667,0.8,10,0.55,1
0.266666666666667,0.8,10,0.65,1
0.266666666666667,0.8,10,0.75,1
0.266666666666667,0.8,10,0.85,1
0.266666666666667,0.8,10,0.95,1
0.355555555555556,0.8,1,0.05,1
0.355555555555556,0.8,1,0.15,1
0.355555555555556,0.8,1,0.25,1
0.355555555555556,0.8,1,0.35,1
0.355555555555556,0.8,1,0.45,1
0.355555555555556,0.8,1,0.55,1
0.355555555555556,0.8,1,0.65,1
0.355555555555556,0.8,1,0.75,1
0.355555555555556,0.8,1,0.85,1
0.355555555555556,0.8,1,0.95,1
0.355555555555556,0.8,2,0.05,1
0.355555555555556,0.8,2,0.15,1
0.355555555555556,0.8,2,0.25,1
0.355555555555556,0.8,2,0.35,1
0.355555555555556,0.8,2,0.45,1
0.355555555555556,0.8,2,0.55,1
0.355555555555556,0.8,2,0.65,1
0.355555555555556,0.8,2,0.75,1
0.355555555555556,0.8,2,0.85,1
0.355555555555556,0.8,2,0.95,1
0.355555555555556,0.8,3,0.05,1
0.355555555555556,0.8,3,0.15,1
0.355555555555556,0.8,3,0.25,1
0.355555555555556,0.8,3,0.35,1
0.355555555555556,0.8,3,0.45,1
0.355555555555556,0.8,3,0.55,1
0.355555555555556,0.8,3,0.65,1
0.355555555555556,0.8,3,0.75,1
0.355555555555556,0.8,3,0.85,1
0.355555555555556,0.8,3,0.95,1
0.355555555555556,0.8,4,0.05,1
0.355555555555556,0.8,4,0.15,1
0.355555555555556,0.8,4,0.25,1
0.355555555555556,0.8,4,0.35,1
0.355555555555556,0.8,4,0.45,1
0.355555555555556,0.8,4,0.55,1
0.355555555555556,0.8,4,0.65,1
0.355555555555556,0.8,4,0.75,1
0.355555555555556,0.8,4,0.85,1
0.355555555555556,0.8,4,0.95,1
0.355555555555556,0.8,5,0.05,1
0.355555555555556,0.8,5,0.15,1
0.355555555555556,0.8,5,0.25,1
0.355555555555556,0.8,5,0.35,1
0.355555555555556,0.8,5,0.45,1
0.355555555555556,0.8,5,0.55,1
0.355555555555556,0.8,5,0.65,1
0.355555555555556,0.8,5,0.75,1
0.355555555555556,0.8,5,0.85,1
0.355555555555556,0.8,5,0.95,1
0.355555555555556,0.8,6,0.05,1
0.355555555555556,0.8,6,0.15,1
0.355555555555556,0.8,6,0.25,1
0.355555555555556,0.8,6,0.35,1
0.355555555555556,0.8,6,0.45,1
0.355555555555556,0.8,6,0.55,1
0.355555555555556,0.8,6,0.65,1
0.355555555555556,0.8,6,0.75,1
0.355555555555556,0.8,6,0.85,1
0.355555555555556,0.8,6,0.95,1
0.355555555555556,0.8,7,0.05,1
0.355555555555556,0.8,7,0.15,1
0.355555555555556,0.8,7,0.25,1
0.355555555555556,0.8,7,0.35,1
0.355555555555556,0.8,7,0.45,1
0.355555555555556,0.8,7,0.55,1
0.355555555555556,0.8,7,0.65,1
0.355555555555556,0.8,7,0.75,1
0.355555555555556,0.8,7,0.85,1
0.355555555555556,0.8,7,0.95,1
0.355555555555556,0.8,8,0.05,1
0.355555555555556,0.8,8,0.15,1
0.355555555555556,0.8,8,0.25,1
0.355555555555556,0.8,8,0.35,1
